brands,code,ecoscore_grade,ingredients_text,packaging_tags,packaging_text,product_name
Kirkland Signature,0096619174034,unknown,"Frambuesas, Moras azules, zarzamoras",['en:plastic'],,
dole,0071430011270,not-applicable,,['en:plastic'],,Raspberries
Viet Way,0081652083818,unknown,"Rice, Tapioca starch, Sugar, Salt, Monosodium Glutamate, Sodium Carboxymethyl cellulose as stabilizer, Salt, Sugar, Flavor Enhancers (Monosodium Glutamate, Disodium inosinate, Disodium guanylate), Artificial běef flavor [Flavorings (Nature identical, Natural), Maize maltodextrin, Salt, Medium čhain triglycerides (from coconut fatty ačids), Silicon dioxide, Modified corn starch, Moisture], Powder [Soybeans, Spice (Liquorice, Cinnaṁon, Fennel seeds, Coriander seeds, Cardamom, Anise, Cloves)], Cellulose as Stabilizer. Natural flavoríng substances, Nature - Identical flavoring substances, Tocopherols). Soybeans protein, Dehydrated spring onion. Chili sauce: Water, Sugar, Chili, Garlic, Šalt, Modified starch, Acidity regulators (Acetic Acid, Citric Acid), Preservatives (Potassium Sorbate, Sodium Benzoatě), Artificial food color Oil pack: Soybeans oil, Extracted (Onion, Ginger, Chili), Artificial beef flavor (Vegetable fat/oil, Citríc Acid, Çaramel for coloring, Silicon dioxide.(FD&C Yello#6), Natural food color (Carmines).",['en:plastic'],,Spaghetti
Foodhold USA,0688267063565,a,"TOMATO CONCENTRATE FROM TOMATOES, SUGAR, DISTILLED VINEGAR, SALT, ONION POWDER, SPICE, NATURAL FLAVORINGS.",['en:plastic'],,Tomaron KETCHUP
HEB,0041220713431,unknown,"RAISINS, PEANUTS, M&M'S® MILK CHOCOLATE CANDIES (MILK CHOCOLATE [SUGAR, CHOCOLATE, SKIM MILK, COCOA BUTTER, LACTOSE, MILKFAT, SOY LECITHIN, SALT, ARTIFICIAL AND NATURAL FLAVORS], SUGAR, CORN STARCH, LESS THAN 1% OF: CORN SYRUP, DEXTRIN, COLORING (INCLUDES BLUE 1 LAKE, YELLOW 6, RED 40, YELLOW 5, BLUE 1, YELLOW 6 LAKE, RED 40 LAKE, YELLOW 5 LAKE, BLUE 2 LAKE, BLUE 2], CARNAUBA WAX, GUM ACACIA), ALMONDS, CASHEWS, VEGETABLE OIL (PEANUT, COTTONSEED, SOYBEAN AND/OR SUNFLOWER SEED OIL), SEA SALT. (CONTAINS: PEANUTS, MILK, SOY, ALMONDS, CASHEWS MANUFACTURED IN A FACILITY THAT PROCESSES OTHER TREE NUTS MADE WITH PRIDE AND CARE FOR H-E-BO, SAN ANTONIO, TEXAS 78204 CONTAINS PRODUCT FROM: CASHEWS-INDIA, BRAZIL, VIETNAM, INDONESIA, GHANA, IVORY COAST ACKAGED IN USA DRY PLACE",['en:plastic'],,Hit the Trail Mix
"Kroger, The Kroger Co.",0011110846693,unknown,"DARK SWEET CHERRIES, BLACKBERRIES, STRAWBERRIES, BLUEBERRIES,",['en:plastic'],,Cherry Berry Medley
Wonderful,11011118,unknown,"Aowountiserving % DV Amount/serving 100% JUICE Total Fat Og Saluraled Fat Og Irans Fat Og Chuolesterol Omg % DV From 4 California 0% Total Carb. 39g 0% Dietary Fiber 14% NON GMO Project 0%Pomegranates Total Sugars 349 Incl. Og Added Sugars 0% 0% adium Smg C % Calcium 0% Iron 0% Potassium 10% hongmoprojec.og 0% Protein 0g IFIED ONEGRANATE JUICE FROM CONCENTRATE CHIMENIBOR LLC.Los Angeles, CA 90064 04-0003-12-B","['en:plastic', 'en:bottle']",,pom
TRADER JOE'S,00515115,unknown,"ALMONDS, LIME & CHILI SEASONING SUGAR, CHILI POWDER, SALT, ONION, RICE FLOUR, LIME, VITAMIN E), RICE BRAN OIL, LEMON GRASS, SALT, CHILI, THAI LIME LEAVES.",['en:plastic'],,THAI LIME & CHILI ALMONDS
Badia,0033844006136,f,Ground Black Pepper,"['en:plastic', 'en:jar']",,Ground Black Pepper
Ferrero,0009800556014,unknown,"MILK CHOCOLATE (SUGAR, COCOA BUTTER, COCOA MASS, SKIM MILK POWDER, BUTTEROIL, LECITHIN AS EMULSIFIER, VANILLIN: AN ARTIFICIAL FLAVOR), SUGAR, PALM OIL, WHEAT FLOUR, HAZELNUTS, SKIM MILK POWDER, MILK POWDER, SEMI-SWEET CHOCOLATE (SUGAR, COCOA MASS, COCOA BUTTER, LECITHIN AS EMULSIFIER, VANILLIN: AN ARTIFICIAL FLAVOR), COCGA, LECITHIN AS EMULSIFIER, SODIUM BICARBONATE AND AMMONIUM BICARBONATE AS LEAVENING AGENTS, SALT, VANILLIN: AN ARTIFICIAL OR. CONTAINS MILK, TREE NUTS (HAZELNUTS), WHEAT, SOY. EXCL. DIST. FERRERO U.S.A., INC., PARSIPPANY, NJ 07054. MADE IN POLAND",['en:plastic'],,Kinder Bueno Mini bag
Kind,0602652299490,d,"Oats, tapioca syrup, cane sugar, canola oil, peanut butter (peanuts, sea salt), brown rice, palm kernel oil, honey, chicory root fiber, brown rice flour, millet, buckwheat, amaranth, unsweetened chocolate, alkalized cocoa, sea salt, quinoa, soy lecithin, natural flavor, Vitamin E (tocopherols to maintain freshness), cocoa butter.","['en:plastic', 'en:cardboard']","1 recycled paper box to recycle
5 multi-layer wrappers to discard",Kind Healthy Grains Drizzled Dark Chocolate Peanut Butter
Snapple,0076183323632,unknown,"CA CHV ME-HI 5c OR 100 % Dally Value 0% Total Fat 0g Sodiun 10mg Total Carbohydrate 23g 9% Total Sugars 23g kncludes 22g Added Sugars 43% 0% Protein 0g FILTERED WATER, SUGAR, KIWI JUICE CONCENTRATE, CITRIC ACID, STRAWBERRY JUICE CONCENTRATE, ACACIA GUM, NATURAL FLAVORS, VEGETABLE JUICE CONCENTRATES (FOR COLOR), ESTER GUM. PRODUCED UNDER THE AUTHORITY OF SNAPPLE BEVERAGE CORP., 5301 LEGACY DRIVE, PLANO, TX 75024. TM & © 2020 SNAPPLE BEVERAGE CORP. 1-800-762-7753 snapple.com ME-HI 5¢ OR 10C.",['en:plastic'],,Snapple Kiwi Strawberry 32 Fl Oz
Raw Rev,0899587003029,unknown,"Peas, Somato-leosaccharides, Prebiotic from tapioca, Pea protein isolate, Brown rice protein, Organic hemp protein, Flax protein, Organic dark chocolate chips, Cane sugar, Chocolate liquor, Cocoa butter, Soy lecithin, Vanilla extract, Organic chia seeds, Sunflower lecithin, Organic unrefined extra virgin coconut oil, Roasted peanut extract, Sea salt",['en:plastic'],,Peanut Butter Dark Chocolate & Sea Salt Plant-Based Protein Bar
Diana,4044673290074,not-applicable,"Calcium 62,1 mg/l, Sulfat 7,2 mg/l. Hydrogencarbonat 321 mg/l, Magnesium 25,5 mgh - Natrium 11,1 mg/l, Chlorid 6,1 mg/1",['en:plastic'],,Mineralwasser Medium
VAN HOLTEN'S,0038200000902,unknown,"CUCURM R, WATER, SALT, VINEGA CALCIUM CHLORIDE, NATURAL FLAVORING, SODIUA BENZOATE AND POTASSIUM SORBATE (TO PREVEIT FRE SPOILAGE) AND YELLOW 5. GLUTE",['en:plastic'],,PICKLE TIN-A POUCH DILL FLAVORED BIG PAPA
The Kroger Co.,0011110034915,unknown,"pork, water, sea salt, cultured celery extract, spice extract",['en:plastic'],,Uncured hardwood smoked bacon
Great Value,0078742254678,c,,"['en:plastic', 'en:pet-polyethylene-terephthalate']",,"Great Value Parsley Flakes, 0.4 Oz"
Indomie,0089686043433,b,RH 30,['en:plastic'],,Indomie Mi Goreng Rasa Ayam Geprek
Chick-fil-A,0072600075870,b,"Potatoes,  vegetable oil (one or more of the following: corn, cottonseed, sunflower), sea salt.",['en:plastic'],,Waffle potato chips
Dr Pepper,0078000082456,not-applicable,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR PHOSPHORIC ACID, NATURAL AND ARTIFICIAL FLAVORS, SODIUM BENZOATE PRESERVATIVE), CAFFEINE",['en:plastic'],,dr. pepper
shoprite,0041190576630,a,"WHOLE WHEAT FLOUR, WATER. SUGAR, YEAST, WHEAT GLUTEN, CONTAINS LESS THAN 2% OF EACH OF THE FOLLOWING: SOYBEAN OIL, CULTURED WHEAT FLOUR, SALT, WHEAT FLOUR, VINEGAR, GUAR GUM, VEGETÁBLE OILS (COCONUT OIL, CANOLA OIL, HIGH OLEIC SOYBEAN OIL AND/OR HIGH OLEIC CANOLA OIL), DATEM, MONOGLYCERIDES, ENZYMES, CALCIUM SULFATE, ASCORBIC ACID (DOUGH CONDÍTIONER), HIGH OLEIC SUNFLOWER OIL, SOY LECITHIN. CONTAINS: WHEAT AND SOY. acts r e (25g) 70",['en:plastic'],,100% whole wheat sliced bread
Starbucks,0048500204306,unknown,"Brewed Starbucks espresso coffee (water, coffee), Water, Condensed skim milk, Sugar, Cream, Natural flavour, Potassium carbonate, Ascorbic acid, Tripotassium phosphate",['en:plastic'],,Vanilla Latte
Great Value,0078742253879,a,_STRAWBERRIES_,"['en:plastic', 'en:bag', 'en:plastic-bag']",,Sliced Strawberries
Favorite Day,0085239166352,unknown,"caramel (corn syrup, condensed milk heavy cream, butter, brown sugar, invert sugar sugar, vanilla extract, salt, soy lecithin emulsi - fier]), dark chocolate (chocolate liquor, sugar cocoa butter, soy lecithin, vanilla), sea salt contains milk and soy processed in a facility that also handles peanut, tree nut and wheat ingredients s delicio creomy so gummig enn ener",['en:plastic'],,Dark Chocolate Sea Salt Caramels
Dr Pepper,0078000035605,not-applicable,"CARBONATED WATER, CARAMEL COLOR, PHOSPHORIC ACID, ASPARTAME, SODIUM BENZOATE (PRESERVATIVE), CAFFEINE, ACESULFAME POTASSIUM, NATURAL AND ARTIFICIAL FLAVORS, SODIUM PHOSPHATE. PHENYLKETONURICS: CONTAINS PHENYLALANINE","['en:plastic', 'en:6-pack']",,zero sugar
Ros,7501182300375,unknown,,['en:plastic'],,ROS salchichas con pavo
Trader Joe's,13288082,d,,['en:plastic'],,honey roasted peanuts
Funables,0041420054594,b,"CORN SYRUP, SUGAR, APPLE PUREE, WATER, MODIFIED CORN STARCH, GELATIN, CITRIC ACID, ASCORBIC ACID (VITAMIN C), VEGETABLE OIL (PALM OIL, COCONUT OIL), ALPHA TOCOPHEROL ACETATE (VITAMIN E), NATURAL AND ARTIFICIAL FLAVORS, CARNAUBA WAX, RED 40, SODIUM HEXAMETAPHOSPHATE, VITAMIN A PALMITATE, LACTIC ACID, BLUE 1, ACETIC ACID.","['en:plastic', 'en:paper']",,Fruity Snacks Mixed Berry
Kroger,01119701,d,"ROASTED _PEANUTS_, SALT.",['en:plastic'],,Natural Crunchy Peanut Butter
Cedar's,0044115338504,a,"steamed chickpeas, water, sea salt, roasted garlic, citric acid, cumin, guar gum",['en:plastic'],,hummus
"Marketside,Walmart",0681131355025,not-applicable,"BABY SPINACH, CARROT, MIZUNA. GREEN LEAF LETTUCE, RED LEAF LETTUCE, LOLLA ROSA, GREEN OAK, RADICCHIO. INGREDIENTS MAY VARY BY SEASON","['en:plastic', 'en:bag', 'en:plastic-bag']",,"Marketside Baby Greens Salad, 6 oz"
Mondelez International,0070462008234,c,"SUGAR, INVERT SUGAR, CORN SYRUP, MODIFIED CORN STARCH, CONTAINS LESS THAN 2% OF TARTARIC ACID, CITRIC ACID, NATURAL AND ARTIFICIAL FLAVOR, YELLOW 6., RED 40, YELLOW 5, BLUE 1.",['en:plastic'],,Sour patch
Great Value,0078742063225,a,MANGO,['en:plastic'],,"Great Value Frozen Mango Chunks, 48 Oz"
Simply nature,4099100087857,unknown,"organic ham, water,contains less than 2%of: sea salt, organic brown sugar, organic cane sugar, celery juice powder, organic honey","['en:plastic', 'en:recyclable-material', 'en:recyclable-plastic']",,Black Forest ham
Marukome,0886518000349,a,"Filtered Water,Rice, Soybeans[Non-Genetically Modified],Salt. CONTAINS: Soybeans.",['en:plastic'],,Ryotei no aji Miso Paste
Wellsley Farms,0888670081440,unknown,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), PEANUT BUTTER (ROASTED PEANUTS, SUGAr, SALT), SALT, CONTAINS LESS THAN 2% OF HIGH OLEIC CANOLA OIL AND/OR SOYBEAN OIL, CORN SYRUP, BARLEY MALT EXTRACT, LEAVENING (YEAST, SODIUM BICARBONATE AND/OR AMMONIUM BICARBONATE). CONTAINS: PEANUTS, WHEAT.",['en:plastic'],,Peanut Butter Filled Pretzels
Thüringer Waldquell Mineralbrunnen GmbH,4013595645248,not-applicable,"Natürliches Mineralwasser, Kohlensäure",['en:plastic'],1 Einwegpfandflasche,Medium Water
Great Value,0078742254623,unknown,OREGANO,"['en:plastic', 'en:pet-polyethylene-terephthalate', 'en:bottle', 'en:lid', 'en:plastic-1']",,Oregano Leaves
,0040032422753,unknown,,['en:plastic'],,Cococrisp
Hershey,0034000018871,unknown,,"['en:plastic', 'en:film']",,Hershey's Nuggets - Milk Chocolate with Almonds
NOW®,0733739026903,unknown,spirlina powder,['en:plastic'],,Certified Organic Spirulina Powder
Nature's Earthly Choice,0679948100730,e,"ORGANIC WHITE QUINOA, ORGANIC RED QUINOA, ORGANIC BLACK QUINOA","['en:plastic', 'en:bag']",,Organic Tri-Color Quinoa
SueroX,0650066003240,not-applicable,,['en:plastic'],,Electrolyte beverage Strawberry-Kiwi Punch
Stacy's,0028400094498,a,"Enriched _wheat_ flour (_Wheat_ flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sunflower oil and/or canola oil, Parmesan cheese (Pasteurized cow's _milk_, cheese cultures, salt, enzymes), sea salt, less than 2% of the following: whole wheat _flour_, organic cane sugar, dried garlic, Parmesan cheese (part-skim _milk_, cheese cultures, salt, enzymes), salt, oat fiber, yeast, parsley, malted barley flour, rosemary extract (antioxidant), ascorbic acid (antioxidant).",['en:plastic'],,Stacys parmesan garlic herb pita chips
Costa,7802215505409,c,,"['en:plastic', 'en:pp-5-polypropylene', 'en:bag']",,Costa Coco
Kars,0077034089301,unknown,,['en:plastic'],,Trail Mix
Yoplait,6181007600586,b,"Lait à 26% et à 0% de MG, sucre, arôme, ferments lactiques sélectionnés.",['en:plastic'],,YOP vanille
Kibun,0854735006017,unknown,"Water, Soybean Fiber Powder, Cellulose, Sodium Alginate, Yam Konjac Powder, Calcium Chloride, Salt. Contains:Soy *",['en:plastic'],,Healthy Noodle
Trader Joe's,00629201,d,"PASTEURIZED MILK, CHEESE CULTURES, SALT, MICROBIAL ENZYME. CONTAINS MILK.",['en:plastic'],,Sharp Cheddar Cheese Snack Pack
"Lenny & Larry's, LLC.",0787692320004,unknown,"Peanuts, Tapioca Syrup, Protein Blend (brown rice protein, pea protein), Semi-Sweet Chocolate Chips (organic cane sugar, unsweetened chocolate, cocoa butter), Chicory Root Fiber, Gluten Free Sugar Cookie Pieces (rice flour, sugar, palm oil, tapioca starch, water, molasses, natural flavors, salt), Organic Agave Syrup, Natural Flavor, Sea Salt.","['en:metal', 'en:plastic']",,The Complete Cookie-fied Bar-Peanut Butter Chocolate Chip imp
Stone Mill,4099100169324,a,,['en:plastic'],,Garlic powder
McCormick,0052100071145,unknown,,['en:plastic'],,Parsley flakes
Giant,0688267071089,unknown,Cinnamon,['en:plastic'],,Ground Cinnamon
Riveridge,0736264002169,unknown,"Apple Juice duce Marketing, Inc. I .riveridgeproduce. Sparta, MI 49345 www.",['en:plastic'],,Apple cider
Hershey's,0034000951352,unknown,"MILK CHOCOLATE (SUGAR, MILK, CHOCOLATE, COCOA BUTTER, MILK FAT, LECITHIN (SOY), NATURAL FLAVOR).",['en:plastic'],,Kisses: Milk Chocolate
Frigo,0041716878910,unknown,"SWIRLS® CHEESE (PASTEURIZED PART SKIM MILK, CREAM AND SKIM MILK, CHEESE CULTURES, SALT, COLOR 
STRING CHEESE (PASTEURIZED PART SKIM MILK. CHEESE CULTURES, SALT, ENZYMES). 
COLBY JACK CHEESE (CULTURED PASTEURIZED MILK, SALT, ENZYMES, COLOR ADDELD). INGREDIENTS: SWIRLS® CHEESE (PASTEURIZED PART SKIM MILK. CREAM AND SKIM MILK, CHEESE CULTURES, SALT, COLOR ADDED, ENZYMES).",['en:plastic'],,Variety string + swirls+colby jack
HE RUN,6927321719173,b,"Milk, Streptococcus thermophilus, Lactobacillus bulgaricus",['en:plastic'],,Yogurt
Badia,0033844000295,e,cinnamon.,"['en:plastic', 'en:pouch-flask']",,Cinnamon
levels,0857965007021,unknown,"Whey Protein Concentrate, Cocoo Powder, Non-GMO PO Box 18182 Jersey City, NJ 07303 LEVELS NUTRITION, LLC. g) Processed in a facility that also processes Peanuts, CONTAINS: Milk. Tree Nuts, Soy, Egg, Wheat, Sesame, Shellfish, DIRECTIONS: Use a shaker bottle or blender when mixing. Add l-2 SCOops of Levels Whey to 8-14 ounces of water, milk or your favorite and Fish. 0 lever ond use it in your oats, ice cream or favorite baked goods. Find recipes ond more on our website ot levelsusa.com. lalue* 3% 8% NUTICE: Use this product os a food supplement only. Do not use lor weight reduction. 32% 5% 1% 0% levelsusa.com to learn more. 0% 48% 0% LEUELS APl MANUFACTURED FOR LEVELS NUTRITION, LLC. u mutient in 2.000 calories Email: hellowlevelsusa.com",['en:plastic'],,Grass Fed Whey Protien
Hershey,0034000018765,unknown,,"['en:plastic', 'en:film']",,Hershey's Nuggets - Milk Chocolate
Goya Foods,0041331023085,a,CHICK PEAS,"['en:plastic', 'en:plastic-5']",,Garbanzos
Sushi Chef,0047834060183,e,Black sesame seeds,"['en:plastic', 'en:glass', 'en:plastic-lid']",,"Black Sesame Seeds, 3.75 OZ"
Nuts! For You,0049022127579,unknown,"PISTACHIOS, SEA SALT",['en:plastic'],,Roasted In Shell Pistachios
Publix,0041415054424,f,Brown rice,['en:plastic'],,Whole grain brown rice
Just About Foods,0850004143056,unknown,Cauliflower,['en:plastic'],,Cauliflower Flour
Prince of Peace,0039278041309,d,"cane sugar, ginger, tapioca starch, virgin coconut oil, red ginger extract",['en:plastic'],,Ginger Chews
Naturipe,0812049007403,not-applicable,blackberries from Mexico,"['en:plastic', 'en:pet-polyethylene-terephthalate', 'en:plastic-1']",,Blackberries
Don Pancho,0079341011051,unknown,"BLEACHED WHEAT FLOUR (ENRICHED WITH NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, CORN MASA FLOUR (GROUND YELLOW CORN MASA FLOUR, CELLULOSE GUM, TRACE OF LIME), VEGETABLE OIL SHORTENING (INTERESTERIFIED SOYBEAN OIL, HYDROGENATED SOYBEAN OIL), WHEAT GLUTEN, SALT, DEXTROSE, SODIUM ALUMINUM PHOSPHATE, SODIUM BICARBONATE, OAT FIBER, GUAR GUM, SODIUM STEAROYL LACTYLATE, MONO-AND DIGLYCERIDES, TO MAINTAIN FRESHNESS (CALCIUM PROPIONATE, POTASSIUM SORBATE, SODIUM PROPIONATE, FUMARIC ACID, SORBIC ACID), SODIUM METABISULFITE.",['en:plastic'],,Golden blend tortillas
carrefour bio,8431876304336,a-plus,,['en:plastic'],,Tomate Cherry pera ecológico
Ice Breakers,8719925811210,b,"Édulcorant (sorbitol (E420(i))), régulateur d'acidité (acide malique (E296)), maltodextrine, régulateur d'acidité (acide tartrique (E334)), édulcorant (maltitol (E965)), édulcorant (aspartame** (E951)), huile de palme hydrogénée, arômes naturels et artificiels (baie, fraise, cerise), épaississant (gomme arabique (E414), stéarate de magnésium), régulateur d'acidité (acide citrique (E330)), edulcorant (mannitol (E421)), emulsifiant (LECITHINE DE SOJA* (E322)), colorant artificiel [rouge 40 (E129), jaune 6 (E110), bleu 1 (E133)], **: contient de la phénylalanine, *: Avec fèves de soja génétiquement modifiés.","['en:plastic', 'en:pp-5-polypropylene', 'en:jar']",,"Ice Breakers Sours Mixed Berry, Strawberry, Cherry"
Publix,0041415081864,c,RAW SUNFLOWER SEED KERNELS,"['en:plastic', 'en:pet-polyethylene-terephthalate', 'en:plastic-1', 'en:tub']",,Sunflower seeds
,0066022000268,unknown,Kiwifruit,['en:plastic'],,Kee wee
"Aldi, Vive",4088600373942,not-applicable,"Carbonated Water, Flavourings, Acid: Citric Acid; Colour: Sulphite Ammonia Caramel; Sweeteners: Aspartame, Acesulfame K; Preservative: Potassium Sorbate; Stabiliser: Quillaia Extract.",['en:plastic'],,Root beer
Wiley Wallaby,0022224206495,unknown,"DEXTROSE, CORN SYRUP, SUGAR, ENRICHED WHEAT FLOUR (WHEAT, IRON, NIACIN, THIAMIN, RIBOFLAVIN & FOLIC ACID), WATER, CANE SYRUP, TARTARIC ACID, MALIC ACID, MODIFIED FOOD STARCH (CORN), SODIUM HYDROGEN MALATE, NATURAL & ARTIFICIAL FLAVOR, CITRIC ACID, PALM OIL*, SODIUM CITRATE, TAPIOCA DEXTRIN, SOY MONO & DIGLYCERIDES, POTASSIUM SORBATE (PRESERVATIVE), CARNAUBA WAX, YELLOW 5, TITANIUM DIOXIDE, RED 3, BLUE 1, RED 40. CONTAINS WHEAT & SOY. *CONTAINS A TRIVIAL AMOUNT OF FAT.",['en:plastic'],,Sourrageous drops
Air cheese,0854918002997,c,"Gouda Cheese (Pasteurized milk, cheese culture, salt, enzymes, annatto)",['en:plastic'],,Gouda crunchy cheese bites
Milbona,4056489220398,d,"Melk, zout, zuursel, microbieel stremsel.",['en:plastic'],,Jong Belegen kaas
Snak Club,0087076213329,e,,"['en:plastic', 'en:bag']",,Honey cashews
Sainsbury's,00253581,not-applicable,"Fine Beans (54%), Tenderstem® Broccoli (23%), Babycom (23%).",['en:plastic'],,"Beans, Tenderstem Broccoli and Babycorn"
ENA,7792981062032,unknown,"Proteína de suero de leche (proteína de suero concentrada & proteína de suero aislada), cacao en polvo, colorante caramelo (COL), AROMATIZANTES, acesulfame K (150 mg/100 g) (EDU), sucralosa (80 mg/100 g) (EDU). CONTIENE DERIVADOS DE LECHE Y SOJA. CONTIENE SULFITOS. *Contiene azúcares propios de los ingredientes. f T W CO",['en:plastic'],,whey protein isolado
Badia,0033844000103,c,,"['en:plastic', 'en:jar']",,Ground Oregano
Bob's Red Mill,0039978104533,e,"Sweet White Rice Flour, Whole Grain Brown Rice Flour, Potato Starch, Whole Grain Sorghum Flour, Tapioca Flour, Xanthan Gum.","['en:plastic', 'en:pouch-flask']",,Gluten Free 1-to-1 Baking Flour
"Santa Helena,Mendorato",7896336000295,d,"Amendoim, farinha de trigo enriquecida (ferro, ácido fólico), açúcar, sal refinado, molho de soja, amido de milho, realçador de sabor (glutamato monossódico).","['en:plastic', 'en:bag']",,Amendoim Japonês
Badia,0033844002169,e,Ground White Pepper.,"['en:plastic', 'en:jar']",,Ground White Pepper
APIARIO REYNA,7503006359033,unknown,"honey bee, corn syrup","['en:plastic', 'en:o-7-other-plastics', 'zh:frasco-vidrio']","envase de vidrio, etiqueta, tapa de lamina el envase se puede reutilizar asi como su tapa",Apiario Reyna HONEY BEE LIQUID
Badia,0033844007492,a,,"['en:plastic', 'en:jar']",,Rosemary
Aguila,7790040133587,unknown,"DULCE DE LECHE 29% [LECHE ENTERA EN POLVO, AZÚCAR, JARABE DE GLUCOSA, ALMIDÓN MODIFICADO, ESTABILIZANTES (CARRAGENINA, AGAR), REGULADOR DE ACIDEZ (BICARBONATO DE SODIO), CONSERVADOR (SORBATO DE POTASIO), AROMATIZANTE], HARINA DE TRIGO ENRIQUECIDA (HIERRO 0.0030%, ÁCIDO FÓLICO 0.00022%, TIAMINA 0,00063%, RIBOFLAVINA 0.00013%, NIACINA 0.0013%), CHOCOLATE CON LECHE 18% [EMULSIONANTES (LECITINA DE SOJA, POLIGLICEROL POLIRRICINOLEATO, TRIESTEARATO DE SORBITAN); AROMATIZANTE (CACAO 36%)], AZÚCAR, GRASA BOVINA REFINADA, ACEITES VEGETALES (ACEITE DE PALMA INTERESTERIFICADO Y FRACCIONADO, ACEITE DE GIRASOL ALTO OLEICO, ACEITE DE SOJA TOTALMENTE HIDROGENADO), JARABE DE GLUCOSA, CACAO EN POLVO, LECHE DESCREMADA EN POLVO, ALMIDÓN, JARABE DE MAÍZ DE ALTA FRUCTOSA, HUEVO EN POLVO, ETANOL, SAL, HUMECTANTES (SORBITOL, GLICERINA), LEUDANTES QUÍMICOS (BICARBONATO DE AMONIO, BICARBONATO DE SODIO), EMULSIONANTES (ESTERES DE ÁCIDOS GRASOS CON POLIGLICEROL, POLIXIETILEN 20 SORBITAN MONOOLEATO, LECITINA DE SOJA), CONSERVANTE (PROPIONATO DE CALCIO), GELIFICANTE (CARRAGENINA), AROMATIZANTES ARTIFICIALES (VAINILLINA, AROMA A CREMA).","['en:plastic', 'en:pp-5-polypropylene', 'en:bag']",,Minitorta Clásica
Badia,0033844000271,f,,"['en:plastic', 'en:bag']",,Paprika
Grainey,8857124188051,unknown,,['en:plastic'],,เกรนนี่ ธัญพืชอัดแท่ง
Circle K,0194283104613,unknown,,['en:plastic'],,Sweet and spicy mix
Badia,0033844001049,b,Parsley Flakes.,"['en:plastic', 'en:jar']",,Parsley Flakes
Kroger,0011110002952,a,,"['en:metal', 'en:plastic']","1 plastic lid, 1 metal tin",Garlic Powder
Edeka Bio,4311501753330,a,"Sauerrahm, 24% Fett","['en:plastic', 'en:metal', 'en:pp-polypropylene', 'en:recyclable-metals', 'en:aluminium', 'en:cardboard', 'en:non-corrugated-cardboard']",,Schmand
General Mills,0016000189140,unknown,"whole grain oats, whole grain corn, sugar, corn syrup, modified corn starch, canola and/or sunflower oil, raspberry puree, whole grain rice, corn starch, blueberry puree, strawberry puree, salt, color (vegetable and fruit juice, caramel color, annatto extract), tripotassium phosphate, baking soda, natural flavor, rosemary extract. vitamin e (mixed tocopherols) added to preserve freshness. vitamins and minerals: calcium carbonate, iron and zinc (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), a b vitamin (calcium pantothenate), vitamin b₁ (thiamin mononitrate), vitamin b6 (pyridoxine hydrochloride), vitamin b₂ (riboflavin), vitamin b₁2, vitamin a (palmitate), a b vitamin (folic acid), vitamin d3.","['en:plastic', 'en:bag', 'en:box', 'en:cardboard', 'en:paperboard']",,Cheerios Oat Crunch Berry
Tesco,5059697716584,f,MAckerel,"['en:plastic', 'en:paper']",,Tesco Mackerel Fillets
365,0099482444846,a,Garlic powder,['en:plastic'],,365 Garlic Powder
Jif,0051500241363,c,"Hecha de cacahuates tostados y azucar, contiene 2% o menos de: MELAZA, ACEITES VEGETALES TOTALMENTE HIDROGENADOS (COLZA Y HABA DE SOYA), MONO Y DIGLICÉRIDOS, SAL.",['en:plastic'],,Creamy peanut butter
Τζανής,5201041015533,unknown,,['en:plastic'],,Παστέλι φυστίκι κελυφωτό
Optimum Nutrition,0748927024111,unknown,"Protein Blend (Whey Protein Isolate, Whey Protein Concentrate, Hydrolyzed Whey Protein), Natural and Artificial Flavor, Sunflower Lecithin, Soy Lecithin, Salt, Acesulfame Potassium, Sucralose.","['en:plastic', 'en:jar']",,Whey Protein
Magic Spoon,0850002887457,c,"Milk Protein Blend (Casein, Whey Protein Concentrate), Sweetener Blend (Allulose, Monk Fruit Extract), Oil Blend (High Oleic Sunflower Oil, Avocado Oil), Tapioca Starch, Inulin (from Chicory Root and/or Agave), Natural Flavor, Salt","['en:plastic', 'en:bag', 'en:box', 'en:cardboard', 'en:paperboard']","1 paperboard box to recycle
1 plastic bag to recycle",Frosted Protein Cereal
